message,kode_user,cleaning_text,case_folding,tokenizing,normalization,remove_stopwords,stemming,clean_text,severity
Wifi saya kok los ya tulisannya,KM1303,Wifi saya kok los ya tulisannya,wifi saya kok los ya tulisannya,"['wifi', 'saya', 'kok', 'los', 'ya', 'tulisannya']","['wifi', 'saya', 'kok', 'los', 'iya', 'tulisannya']","['wifi', 'los', 'iya', 'tulisannya']","['wifi', 'los', 'iya', 'tulis']",wifi los iya tulis,2
"122,500  Admin 2500",KM1486, Admin , admin ,['admin'],['admin'],['admin'],['admin'],admin,1
Boleeh..tp apa ga lemot y kak..kdg se bwt TV jg,KI3372,Boleeh tp apa ga lemot y kak kdg se bwt TV jg,boleeh tp apa ga lemot y kak kdg se bwt tv jg,"['boleeh', 'tp', 'apa', 'ga', 'lemot', 'y', 'kak', 'kdg', 'se', 'bwt', 'tv', 'jg']","['boleeh', 'tapi', 'apa', 'ga', 'lambat', 'ya', 'kak', 'kdg', 'se', 'buat', 'tv', 'juga']","['boleeh', 'ga', 'lambat', 'kak', 'kdg', 'tv']","['boleeh', 'ga', 'lambat', 'kak', 'kdg', 'tv']",boleeh ga lambat kak kdg tv,2
Ap ini gangguan mbak /mas,KM1510,Ap ini gangguan mbak mas,ap ini gangguan mbak mas,"['ap', 'ini', 'gangguan', 'mbak', 'mas']","['apa', 'ini', 'gangguan', 'mbak', 'mas']","['gangguan', 'mbak', 'mas']","['ganggu', 'mbak', 'mas']",ganggu mbak mas,2
Gangguan sampai jam berapa ini mbak /mas,KM1510,Gangguan sampai jam berapa ini mbak mas,gangguan sampai jam berapa ini mbak mas,"['gangguan', 'sampai', 'jam', 'berapa', 'ini', 'mbak', 'mas']","['gangguan', 'sampai', 'jam', 'berapa', 'ini', 'mbak', 'mas']","['gangguan', 'jam', 'mbak', 'mas']","['ganggu', 'jam', 'mbak', 'mas']",ganggu jam mbak mas,2
habis klik bayar kode bayarnya dimana kak,STKT0018,habis klik bayar kode bayarnya dimana kak,habis klik bayar kode bayarnya dimana kak,"['habis', 'klik', 'bayar', 'kode', 'bayarnya', 'dimana', 'kak']","['habis', 'klik', 'bayar', 'kode', 'bayarnya', 'dimana', 'kak']","['habis', 'klik', 'bayar', 'kode', 'bayarnya', 'kak']","['habis', 'klik', 'bayar', 'kode', 'bayar', 'kak']",habis klik bayar kode bayar kak,1
Mau tnya ini sy udh bayar wifi dr aplikasi pembayaran tf,KP1665,Mau tnya ini sy udh bayar wifi dr aplikasi pembayaran tf,mau tnya ini sy udh bayar wifi dr aplikasi pembayaran tf,"['mau', 'tnya', 'ini', 'sy', 'udh', 'bayar', 'wifi', 'dr', 'aplikasi', 'pembayaran', 'tf']","['mau', 'tnya', 'ini', 'saya', 'udh', 'bayar', 'wifi', 'dr', 'aplikasi', 'pembayaran', 'tf']","['tnya', 'udh', 'bayar', 'wifi', 'dr', 'aplikasi', 'pembayaran', 'tf']","['tnya', 'udh', 'bayar', 'wifi', 'dr', 'aplikasi', 'bayar', 'tf']",tnya udh bayar wifi dr aplikasi bayar tf,1
"Sudah bayar kak , terima kasih",KI2005,Sudah bayar kak terima kasih,sudah bayar kak terima kasih,"['sudah', 'bayar', 'kak', 'terima', 'kasih']","['sudah', 'bayar', 'kak', 'terima', 'kasih']","['bayar', 'kak', 'terima', 'kasih']","['bayar', 'kak', 'terima', 'kasih']",bayar kak terima kasih,1
sudah tf ya kak bisa dicek kembali,STKT0018,sudah tf ya kak bisa dicek kembali,sudah tf ya kak bisa dicek kembali,"['sudah', 'tf', 'ya', 'kak', 'bisa', 'dicek', 'kembali']","['sudah', 'tf', 'iya', 'kak', 'bisa', 'dicek', 'kembali']","['tf', 'iya', 'kak', 'dicek']","['tf', 'iya', 'kak', 'cek']",tf iya kak cek,1
Maaf mau tanya mau bayar wifi di rek BRI no yg ini kok ga bisa 03440 11 8888 33 04 Maaf ada no brivanya ta🙏,KT0086,Maaf mau tanya mau bayar wifi di rek BRI no yg ini kok ga bisa Maaf ada no brivanya ta ,maaf mau tanya mau bayar wifi di rek bri no yg ini kok ga bisa maaf ada no brivanya ta ,"['maaf', 'mau', 'tanya', 'mau', 'bayar', 'wifi', 'di', 'rek', 'bri', 'no', 'yg', 'ini', 'kok', 'ga', 'bisa', 'maaf', 'ada', 'no', 'brivanya', 'ta']","['maaf', 'mau', 'tanya', 'mau', 'bayar', 'wifi', 'di', 'rek', 'bri', 'no', 'yang', 'ini', 'kok', 'ga', 'bisa', 'maaf', 'ada', 'no', 'brivanya', 'ta']","['maaf', 'bayar', 'wifi', 'rek', 'bri', 'ga', 'maaf', 'brivanya', 'ta']","['maaf', 'bayar', 'wifi', 'rek', 'bri', 'ga', 'maaf', 'brivanya', 'ta']",maaf bayar wifi rek bri ga maaf brivanya ta,1
"Selamat sore, mohon informasi utk pasang baru",KI0976,Selamat sore mohon informasi utk pasang baru,selamat sore mohon informasi utk pasang baru,"['selamat', 'sore', 'mohon', 'informasi', 'utk', 'pasang', 'baru']","['selamat', 'sore', 'mohon', 'informasi', 'untuk', 'pasang', 'baru']","['selamat', 'sore', 'mohon', 'informasi', 'pasang']","['selamat', 'sore', 'mohon', 'informasi', 'pasang']",selamat sore mohon informasi pasang,1
Kira2 sampai jam berapa ini gangguanya,KM1510,Kira sampai jam berapa ini gangguanya,kira sampai jam berapa ini gangguanya,"['kira', 'sampai', 'jam', 'berapa', 'ini', 'gangguanya']","['kira', 'sampai', 'jam', 'berapa', 'ini', 'gangguanya']","['jam', 'gangguanya']","['jam', 'gangguanya']",jam gangguanya,2
Kak free biaya pasang kan ya,KP2231,Kak free biaya pasang kan ya,kak free biaya pasang kan ya,"['kak', 'free', 'biaya', 'pasang', 'kan', 'ya']","['kak', 'free', 'biaya', 'pasang', 'kan', 'iya']","['kak', 'free', 'biaya', 'pasang', 'iya']","['kak', 'free', 'biaya', 'pasang', 'iya']",kak free biaya pasang iya,1
untuk semua paket,KP2231,untuk semua paket,untuk semua paket,"['untuk', 'semua', 'paket']","['untuk', 'semua', 'paket']",['paket'],['paket'],paket,1
enggeh Kami paket reguker dulu saja ya,KP2231,enggeh Kami paket reguker dulu saja ya,enggeh kami paket reguker dulu saja ya,"['enggeh', 'kami', 'paket', 'reguker', 'dulu', 'saja', 'ya']","['enggeh', 'kami', 'paket', 'reguker', 'dulu', 'saja', 'iya']","['enggeh', 'paket', 'reguker', 'iya']","['enggeh', 'paket', 'reguker', 'iya']",enggeh paket reguker iya,1
Diatas bukti pembayaran nya,KM3262,Diatas bukti pembayaran nya,diatas bukti pembayaran nya,"['diatas', 'bukti', 'pembayaran', 'nya']","['diatas', 'bukti', 'pembayaran', 'nya']","['diatas', 'bukti', 'pembayaran', 'nya']","['atas', 'bukti', 'bayar', 'nya']",atas bukti bayar nya,1
"Kak, mohon dibantu mengisi data pemasangan terlebih dahulu untuk saya bantu daftarkan😊  Nama : Husen No. Telepon : 0812-5256-5053 Alamat Pemasangan : Jl. KH. Ach Dahlan RT 05 RW 02 Gang Ledok Kelurahan : Pohjentrek Paket : Reguler 5 Mbps Foto KTP :  Foto Tampak Depan Rumah : Tahu Kapten Naratel dari Mana : Kakak  Terima kasih 😊",KP2231,Kak mohon dibantu mengisi data pemasangan terlebih dahulu untuk saya bantu daftarkan Nama Husen No Telepon Alamat Pemasangan Jl KH Ach Dahlan RT RW Gang Ledok Kelurahan Pohjentrek Paket Reguler Mbps Foto KTP Foto Tampak Depan Rumah Tahu Kapten Naratel dari Mana Kakak Terima kasih ,kak mohon dibantu mengisi data pemasangan terlebih dahulu untuk saya bantu daftarkan nama husen no telepon alamat pemasangan jl kh ach dahlan rt rw gang ledok kelurahan pohjentrek paket reguler mbps foto ktp foto tampak depan rumah tahu kapten naratel dari mana kakak terima kasih ,"['kak', 'mohon', 'dibantu', 'mengisi', 'data', 'pemasangan', 'terlebih', 'dahulu', 'untuk', 'saya', 'bantu', 'daftarkan', 'nama', 'husen', 'no', 'telepon', 'alamat', 'pemasangan', 'jl', 'kh', 'ach', 'dahlan', 'rt', 'rw', 'gang', 'ledok', 'kelurahan', 'pohjentrek', 'paket', 'reguler', 'mbps', 'foto', 'ktp', 'foto', 'tampak', 'depan', 'rumah', 'tahu', 'kapten', 'naratel', 'dari', 'mana', 'kakak', 'terima', 'kasih']","['kak', 'mohon', 'dibantu', 'mengisi', 'data', 'pemasangan', 'terlebih', 'dahulu', 'untuk', 'saya', 'bantu', 'daftarkan', 'nama', 'husen', 'no', 'telepon', 'alamat', 'pemasangan', 'jl', 'kh', 'ach', 'dahlan', 'rt', 'rw', 'gang', 'ledok', 'kelurahan', 'pohjentrek', 'paket', 'reguler', 'mbps', 'foto', 'ktp', 'foto', 'tampak', 'depan', 'rumah', 'tahu', 'kapten', 'naratel', 'dari', 'mana', 'kakak', 'terima', 'kasih']","['kak', 'mohon', 'dibantu', 'mengisi', 'data', 'pemasangan', 'bantu', 'daftarkan', 'nama', 'husen', 'telepon', 'alamat', 'pemasangan', 'jl', 'kh', 'ach', 'dahlan', 'rw', 'gang', 'ledok', 'kelurahan', 'pohjentrek', 'paket', 'reguler', 'mbps', 'foto', 'ktp', 'foto', 'rumah', 'kapten', 'naratel', 'kakak', 'terima', 'kasih']","['kak', 'mohon', 'bantu', 'isi', 'data', 'pasang', 'bantu', 'daftar', 'nama', 'husen', 'telepon', 'alamat', 'pasang', 'jl', 'kh', 'ach', 'dahlan', 'rw', 'gang', 'ledok', 'lurah', 'pohjentrek', 'paket', 'reguler', 'mbps', 'foto', 'ktp', 'foto', 'rumah', 'kapten', 'naratel', 'kakak', 'terima', 'kasih']",kak mohon bantu isi data pasang bantu daftar nama husen telepon alamat pasang jl kh ach dahlan rw gang ledok lurah pohjentrek paket reguler mbps foto ktp foto rumah kapten naratel kakak terima kasih,1
Gak ada sinyal wifinya kak,"KI0718, KI2535, KI2537",Gak ada sinyal wifinya kak,gak ada sinyal wifinya kak,"['gak', 'ada', 'sinyal', 'wifinya', 'kak']","['gak', 'ada', 'sinyal', 'wifinya', 'kak']","['gak', 'sinyal', 'wifinya', 'kak']","['gak', 'sinyal', 'wifinya', 'kak']",gak sinyal wifinya kak,2
selamat siang kakk mau konfirmasi bayarr,KI1595,selamat siang kakk mau konfirmasi bayarr,selamat siang kakk mau konfirmasi bayarr,"['selamat', 'siang', 'kakk', 'mau', 'konfirmasi', 'bayarr']","['selamat', 'siang', 'kakk', 'mau', 'konfirmasi', 'bayarr']","['selamat', 'siang', 'kakk', 'konfirmasi', 'bayarr']","['selamat', 'siang', 'kakk', 'konfirmasi', 'bayarr']",selamat siang kakk konfirmasi bayarr,1
makasi kak ntar masi perlu konfirmasi pembayaran apa ngga kak?,KI1595,makasi kak ntar masi perlu konfirmasi pembayaran apa ngga kak ,makasi kak ntar masi perlu konfirmasi pembayaran apa ngga kak ,"['makasi', 'kak', 'ntar', 'masi', 'perlu', 'konfirmasi', 'pembayaran', 'apa', 'ngga', 'kak']","['makasi', 'kak', 'nanti', 'masi', 'perlu', 'konfirmasi', 'pembayaran', 'apa', 'tidak', 'kak']","['makasi', 'kak', 'masi', 'konfirmasi', 'pembayaran', 'tidak', 'kak']","['makas', 'kak', 'mas', 'konfirmasi', 'bayar', 'tidak', 'kak']",makas kak mas konfirmasi bayar tidak kak,1
Paket sya habis hari ini,KM1464,Paket sya habis hari ini,paket sya habis hari ini,"['paket', 'sya', 'habis', 'hari', 'ini']","['paket', 'sya', 'habis', 'hari', 'ini']","['paket', 'sya', 'habis']","['paket', 'sya', 'habis']",paket sya habis,1
untuk promo ini bisa dijelaskan detailnya kak?,KN0590,untuk promo ini bisa dijelaskan detailnya kak ,untuk promo ini bisa dijelaskan detailnya kak ,"['untuk', 'promo', 'ini', 'bisa', 'dijelaskan', 'detailnya', 'kak']","['untuk', 'promo', 'ini', 'bisa', 'dijelaskan', 'detailnya', 'kak']","['promo', 'detailnya', 'kak']","['promo', 'detail', 'kak']",promo detail kak,1
kak kalau pasang lagi ada biaya pemasangan apa masih free?,"KT1920, KT2091",kak kalau pasang lagi ada biaya pemasangan apa masih free ,kak kalau pasang lagi ada biaya pemasangan apa masih free ,"['kak', 'kalau', 'pasang', 'lagi', 'ada', 'biaya', 'pemasangan', 'apa', 'masih', 'free']","['kak', 'kalau', 'pasang', 'lagi', 'ada', 'biaya', 'pemasangan', 'apa', 'masih', 'free']","['kak', 'pasang', 'biaya', 'pemasangan', 'free']","['kak', 'pasang', 'biaya', 'pasang', 'free']",kak pasang biaya pasang free,1
Ini saya bisa bayar va dari bank bri pakai metode transfer ke bank bca lalu memasukkan nomor tersebut,GJ0079,Ini saya bisa bayar va dari bank bri pakai metode transfer ke bank bca lalu memasukkan nomor tersebut,ini saya bisa bayar va dari bank bri pakai metode transfer ke bank bca lalu memasukkan nomor tersebut,"['ini', 'saya', 'bisa', 'bayar', 'va', 'dari', 'bank', 'bri', 'pakai', 'metode', 'transfer', 'ke', 'bank', 'bca', 'lalu', 'memasukkan', 'nomor', 'tersebut']","['ini', 'saya', 'bisa', 'bayar', 'va', 'dari', 'bank', 'bri', 'pakai', 'metode', 'transfer', 'ke', 'bank', 'bca', 'lalu', 'memasukkan', 'nomor', 'tersebut']","['bayar', 'va', 'bank', 'bri', 'pakai', 'metode', 'transfer', 'bank', 'bca', 'memasukkan', 'nomor']","['bayar', 'va', 'bank', 'bri', 'pakai', 'metode', 'transfer', 'bank', 'bca', 'masuk', 'nomor']",bayar va bank bri pakai metode transfer bank bca masuk nomor,1
Tagihan via BRIVA,KI1815,Tagihan via BRIVA,tagihan via briva,"['tagihan', 'via', 'briva']","['tagihan', 'via', 'briva']","['tagihan', 'via', 'briva']","['tagih', 'via', 'briva']",tagih via briva,1
bisa di bantu di total jadinya berapa ya kak,KP2231,bisa di bantu di total jadinya berapa ya kak,bisa di bantu di total jadinya berapa ya kak,"['bisa', 'di', 'bantu', 'di', 'total', 'jadinya', 'berapa', 'ya', 'kak']","['bisa', 'di', 'bantu', 'di', 'total', 'jadinya', 'berapa', 'iya', 'kak']","['bantu', 'total', 'iya', 'kak']","['bantu', 'total', 'iya', 'kak']",bantu total iya kak,1
Assalamu'alaikum Selamat pagi  Saya mau pasang wifi,KP2245,Assalamu alaikum Selamat pagi Saya mau pasang wifi,assalamu alaikum selamat pagi saya mau pasang wifi,"['assalamu', 'alaikum', 'selamat', 'pagi', 'saya', 'mau', 'pasang', 'wifi']","['assalamu', 'alaikum', 'selamat', 'pagi', 'saya', 'mau', 'pasang', 'wifi']","['assalamu', 'alaikum', 'selamat', 'pagi', 'pasang', 'wifi']","['assalamu', 'alaikum', 'selamat', 'pagi', 'pasang', 'wifi']",assalamu alaikum selamat pagi pasang wifi,1
Apakah pembayaran akan tetap masuk,GJ0079,Apakah pembayaran akan tetap masuk,apakah pembayaran akan tetap masuk,"['apakah', 'pembayaran', 'akan', 'tetap', 'masuk']","['apakah', 'pembayaran', 'akan', 'tetap', 'masuk']","['pembayaran', 'masuk']","['bayar', 'masuk']",bayar masuk,1
Kak ini kita TF,KP2231,Kak ini kita TF,kak ini kita tf,"['kak', 'ini', 'kita', 'tf']","['kak', 'ini', 'kita', 'tf']","['kak', 'tf']","['kak', 'tf']",kak tf,1
Malam kak sepertinya putus lagi kabel nya d cek besok ajh gpp kak kasian sudah malam,KI3172,Malam kak sepertinya putus lagi kabel nya d cek besok ajh gpp kak kasian sudah malam,malam kak sepertinya putus lagi kabel nya d cek besok ajh gpp kak kasian sudah malam,"['malam', 'kak', 'sepertinya', 'putus', 'lagi', 'kabel', 'nya', 'd', 'cek', 'besok', 'ajh', 'gpp', 'kak', 'kasian', 'sudah', 'malam']","['malam', 'kak', 'sepertinya', 'putus', 'lagi', 'kabel', 'nya', 'di', 'cek', 'besok', 'ajh', 'tidak apa-apa', 'kak', 'kasian', 'sudah', 'malam']","['malam', 'kak', 'putus', 'kabel', 'nya', 'cek', 'besok', 'ajh', 'tidak apa-apa', 'kak', 'kasian', 'malam']","['malam', 'kak', 'putus', 'kabel', 'nya', 'cek', 'besok', 'ajh', 'tidak apa', 'kak', 'kasi', 'malam']",malam kak putus kabel nya cek besok ajh tidak apa kak kasi malam,1
Kalo mau ganti password wifi gimana ya?,KM2027,Kalo mau ganti password wifi gimana ya ,kalo mau ganti password wifi gimana ya ,"['kalo', 'mau', 'ganti', 'password', 'wifi', 'gimana', 'ya']","['kalau', 'mau', 'ganti', 'password', 'wifi', 'bagaimana', 'iya']","['ganti', 'password', 'wifi', 'iya']","['ganti', 'password', 'wifi', 'iya']",ganti password wifi iya,1
"Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut :  ID Pelanggan: KP0884 Nama: Alif Firhan Alasan Berhenti Berlangganan: Pindah Jadwal Pengambilan Modem: Jumat, 19 Sep 2025 Jam: Sharelocation: Pesona Candi 7 Blok CD/48 (Sebelah timur masjid) https://maps.app.goo.gl/zhAdwGZdQZuAGuWi7   Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda.  Terima kasih telah mempercayakan kami untuk melayani Anda🙏",KP0884,Pengajuan Berhenti Berlangganan Anda dapat diproses apabila melengkapi data berikut ID Pelanggan KP Nama Alif Firhan Alasan Berhenti Berlangganan Pindah Jadwal Pengambilan Modem Jumat Sep Jam Sharelocation Pesona Candi Blok CD Sebelah timur masjid Segera isi form agar kami bisa memproses permohonan berhenti berlangganan Anda Terima kasih telah mempercayakan kami untuk melayani Anda ,pengajuan berhenti berlangganan anda dapat diproses apabila melengkapi data berikut id pelanggan kp nama alif firhan alasan berhenti berlangganan pindah jadwal pengambilan modem jumat sep jam sharelocation pesona candi blok cd sebelah timur masjid segera isi form agar kami bisa memproses permohonan berhenti berlangganan anda terima kasih telah mempercayakan kami untuk melayani anda ,"['pengajuan', 'berhenti', 'berlangganan', 'anda', 'dapat', 'diproses', 'apabila', 'melengkapi', 'data', 'berikut', 'id', 'pelanggan', 'kp', 'nama', 'alif', 'firhan', 'alasan', 'berhenti', 'berlangganan', 'pindah', 'jadwal', 'pengambilan', 'modem', 'jumat', 'sep', 'jam', 'sharelocation', 'pesona', 'candi', 'blok', 'cd', 'sebelah', 'timur', 'masjid', 'segera', 'isi', 'form', 'agar', 'kami', 'bisa', 'memproses', 'permohonan', 'berhenti', 'berlangganan', 'anda', 'terima', 'kasih', 'telah', 'mempercayakan', 'kami', 'untuk', 'melayani', 'anda']","['pengajuan', 'berhenti', 'berlangganan', 'anda', 'dapat', 'diproses', 'apabila', 'melengkapi', 'data', 'berikut', 'id', 'pelanggan', 'kp', 'nama', 'alif', 'firhan', 'alasan', 'berhenti', 'berlangganan', 'pindah', 'jadwal', 'pengambilan', 'modem', 'jumat', 'sep', 'jam', 'sharelocation', 'pesona', 'candi', 'blok', 'cd', 'sebelah', 'timur', 'masjid', 'segera', 'isi', 'form', 'agar', 'kami', 'bisa', 'memproses', 'permohonan', 'berhenti', 'berlangganan', 'anda', 'terima', 'kasih', 'telah', 'mempercayakan', 'kami', 'untuk', 'melayani', 'anda']","['pengajuan', 'berhenti', 'berlangganan', 'diproses', 'melengkapi', 'data', 'id', 'pelanggan', 'kp', 'nama', 'alif', 'firhan', 'alasan', 'berhenti', 'berlangganan', 'pindah', 'jadwal', 'pengambilan', 'modem', 'jumat', 'sep', 'jam', 'sharelocation', 'pesona', 'candi', 'blok', 'cd', 'sebelah', 'timur', 'masjid', 'isi', 'form', 'memproses', 'permohonan', 'berhenti', 'berlangganan', 'terima', 'kasih', 'mempercayakan', 'melayani']","['aju', 'henti', 'langgan', 'proses', 'lengkap', 'data', 'id', 'langgan', 'kp', 'nama', 'alif', 'firhan', 'alas', 'henti', 'langgan', 'pindah', 'jadwal', 'ambil', 'modem', 'jumat', 'sep', 'jam', 'sharelocation', 'pesona', 'candi', 'blok', 'cd', 'belah', 'timur', 'masjid', 'isi', 'form', 'proses', 'mohon', 'henti', 'langgan', 'terima', 'kasih', 'percaya', 'layan']",aju henti langgan proses lengkap data id langgan kp nama alif firhan alas henti langgan pindah jadwal ambil modem jumat sep jam sharelocation pesona candi blok cd belah timur masjid isi form proses mohon henti langgan terima kasih percaya layan,4
Halo kak. Wifi nya gangguan kah? Dari tadi ga nyambung soalnya Idpel KP0924,"KM0771, KP0924",Halo kak Wifi nya gangguan kah Dari tadi ga nyambung soalnya Idpel KP,halo kak wifi nya gangguan kah dari tadi ga nyambung soalnya idpel kp,"['halo', 'kak', 'wifi', 'nya', 'gangguan', 'kah', 'dari', 'tadi', 'ga', 'nyambung', 'soalnya', 'idpel', 'kp']","['halo', 'kak', 'wifi', 'nya', 'gangguan', 'kah', 'dari', 'tadi', 'ga', 'nyambung', 'soalnya', 'idpel', 'kp']","['halo', 'kak', 'wifi', 'nya', 'gangguan', 'ga', 'nyambung', 'idpel', 'kp']","['halo', 'kak', 'wifi', 'nya', 'ganggu', 'ga', 'nyambung', 'idpel', 'kp']",halo kak wifi nya ganggu ga nyambung idpel kp,2
Mau bayar ke alfamart ataupun indomaret g bisa mengoperasikan kak🙏🏻,KJ1242,Mau bayar ke alfamart ataupun indomaret g bisa mengoperasikan kak ,mau bayar ke alfamart ataupun indomaret g bisa mengoperasikan kak ,"['mau', 'bayar', 'ke', 'alfamart', 'ataupun', 'indomaret', 'g', 'bisa', 'mengoperasikan', 'kak']","['mau', 'bayar', 'ke', 'alfamart', 'ataupun', 'indomaret', 'g', 'bisa', 'mengoperasikan', 'kak']","['bayar', 'alfamart', 'indomaret', 'g', 'mengoperasikan', 'kak']","['bayar', 'alfamart', 'indomaret', 'g', 'operasi', 'kak']",bayar alfamart indomaret g operasi kak,1
Mau ambil yang paket naratel saja yang 5mbps,KP2245,Mau ambil yang paket naratel saja yang mbps,mau ambil yang paket naratel saja yang mbps,"['mau', 'ambil', 'yang', 'paket', 'naratel', 'saja', 'yang', 'mbps']","['mau', 'ambil', 'yang', 'paket', 'naratel', 'saja', 'yang', 'mbps']","['ambil', 'paket', 'naratel', 'mbps']","['ambil', 'paket', 'naratel', 'mbps']",ambil paket naratel mbps,1
jdi klo bayar skrg nnti masa aktifnya sampai kapan?,KT1816,jdi klo bayar skrg nnti masa aktifnya sampai kapan ,jdi klo bayar skrg nnti masa aktifnya sampai kapan ,"['jdi', 'klo', 'bayar', 'skrg', 'nnti', 'masa', 'aktifnya', 'sampai', 'kapan']","['jadi', 'kalau', 'bayar', 'skrg', 'nnti', 'masa', 'aktifnya', 'sampai', 'kapan']","['bayar', 'skrg', 'nnti', 'aktifnya']","['bayar', 'skrg', 'nnti', 'aktif']",bayar skrg nnti aktif,1
Siang kk inter kami ganggu kk yg barusan pasang di daerah sumbersari,KI3031,Siang kk inter kami ganggu kk yg barusan pasang di daerah sumbersari,siang kk inter kami ganggu kk yg barusan pasang di daerah sumbersari,"['siang', 'kk', 'inter', 'kami', 'ganggu', 'kk', 'yg', 'barusan', 'pasang', 'di', 'daerah', 'sumbersari']","['siang', 'kakak', 'inter', 'kami', 'ganggu', 'kakak', 'yang', 'barusan', 'pasang', 'di', 'daerah', 'sumbersari']","['siang', 'kakak', 'inter', 'ganggu', 'kakak', 'barusan', 'pasang', 'daerah', 'sumbersari']","['siang', 'kakak', 'inter', 'ganggu', 'kakak', 'barusan', 'pasang', 'daerah', 'sumbersari']",siang kakak inter ganggu kakak barusan pasang daerah sumbersari,1
Nyala lampu hijau tapi tidak berkedip kedip,KI3031,Nyala lampu hijau tapi tidak berkedip kedip,nyala lampu hijau tapi tidak berkedip kedip,"['nyala', 'lampu', 'hijau', 'tapi', 'tidak', 'berkedip', 'kedip']","['nyala', 'lampu', 'hijau', 'tapi', 'tidak', 'berkedip', 'kedip']","['nyala', 'lampu', 'hijau', 'tidak', 'berkedip', 'kedip']","['nyala', 'lampu', 'hijau', 'tidak', 'kedip', 'kedip']",nyala lampu hijau tidak kedip kedip,1
Wifi nya kenapa ya sangat lemot 1 bulan ini kakk semuanya 😪,"KJ1293, KT0027",Wifi nya kenapa ya sangat lemot bulan ini kakk semuanya ,wifi nya kenapa ya sangat lemot bulan ini kakk semuanya ,"['wifi', 'nya', 'kenapa', 'ya', 'sangat', 'lemot', 'bulan', 'ini', 'kakk', 'semuanya']","['wifi', 'nya', 'kenapa', 'iya', 'sangat', 'lambat', 'bulan', 'ini', 'kakk', 'semuanya']","['wifi', 'nya', 'iya', 'lambat', 'kakk']","['wifi', 'nya', 'iya', 'lambat', 'kakk']",wifi nya iya lambat kakk,2
Paket mana yg bisa di pakek cctv werles.?,KT2096,Paket mana yg bisa di pakek cctv werles ,paket mana yg bisa di pakek cctv werles ,"['paket', 'mana', 'yg', 'bisa', 'di', 'pakek', 'cctv', 'werles']","['paket', 'mana', 'yang', 'bisa', 'di', 'pakek', 'cctv', 'werles']","['paket', 'pakek', 'cctv', 'werles']","['paket', 'pakek', 'cctv', 'werles']",paket pakek cctv werles,1
Klo pasang waifi di daerah uin belakang bisa kak?,KT0101,Klo pasang waifi di daerah uin belakang bisa kak ,klo pasang waifi di daerah uin belakang bisa kak ,"['klo', 'pasang', 'waifi', 'di', 'daerah', 'uin', 'belakang', 'bisa', 'kak']","['kalau', 'pasang', 'waifi', 'di', 'daerah', 'uin', 'belakang', 'bisa', 'kak']","['pasang', 'waifi', 'daerah', 'uin', 'kak']","['pasang', 'waifi', 'daerah', 'uin', 'kak']",pasang waifi daerah uin kak,1
Enggak kak kadang gak kedip cuman nyala kuning aja,"KJ1293, KT0027",Enggak kak kadang gak kedip cuman nyala kuning aja,enggak kak kadang gak kedip cuman nyala kuning aja,"['enggak', 'kak', 'kadang', 'gak', 'kedip', 'cuman', 'nyala', 'kuning', 'aja']","['tidak', 'kak', 'kadang', 'gak', 'kedip', 'cuman', 'nyala', 'kuning', 'saja']","['tidak', 'kak', 'kadang', 'gak', 'kedip', 'cuman', 'nyala', 'kuning']","['tidak', 'kak', 'kadang', 'gak', 'kedip', 'cuman', 'nyala', 'kuning']",tidak kak kadang gak kedip cuman nyala kuning,1
Permisi mau tanya ID pelanggan KN0599 Nama :Rahmadi  Pembayaran apakah mulai bulan Oktober..tanggal berapa paling lambat untuk tiap bulannya?,KN0599,Permisi mau tanya ID pelanggan KN Nama Rahmadi Pembayaran apakah mulai bulan Oktober tanggal berapa paling lambat untuk tiap bulannya ,permisi mau tanya id pelanggan kn nama rahmadi pembayaran apakah mulai bulan oktober tanggal berapa paling lambat untuk tiap bulannya ,"['permisi', 'mau', 'tanya', 'id', 'pelanggan', 'kn', 'nama', 'rahmadi', 'pembayaran', 'apakah', 'mulai', 'bulan', 'oktober', 'tanggal', 'berapa', 'paling', 'lambat', 'untuk', 'tiap', 'bulannya']","['permisi', 'mau', 'tanya', 'id', 'pelanggan', 'kan', 'nama', 'rahmadi', 'pembayaran', 'apakah', 'mulai', 'bulan', 'oktober', 'tanggal', 'berapa', 'paling', 'lambat', 'untuk', 'tiap', 'bulannya']","['permisi', 'id', 'pelanggan', 'nama', 'rahmadi', 'pembayaran', 'oktober', 'tanggal', 'lambat', 'bulannya']","['permisi', 'id', 'langgan', 'nama', 'rahmadi', 'bayar', 'oktober', 'tanggal', 'lambat', 'bulan']",permisi id langgan nama rahmadi bayar oktober tanggal lambat bulan,2
Sya bayar via bca,KM1464,Sya bayar via bca,sya bayar via bca,"['sya', 'bayar', 'via', 'bca']","['sya', 'bayar', 'via', 'bca']","['sya', 'bayar', 'via', 'bca']","['sya', 'bayar', 'via', 'bca']",sya bayar via bca,1
